Higher Trade and Delivery Quantity,
Date: 15-Apr-2026,
Major Stocks,
Generated by and for: ratnesh.gold@gmail.com,

Stock Name,Symbol,Exch,Sector Name,Industry Name,Delivered Qty,Delv Times (x),Avg Delv Qty,Traded Qty,Traded Times (x),Avg Traded Qty,Close,Chg %,Symbol with Comma for External Upload
Nuvoco Vistas Corporation Ltd.,NUVOCO,NSE,Construction Materials,Cement & Construction Materials,1476961.00,13.15,112347.00,2666828.00,10.92,244272.00,304.95,-0.57,"NUVOCO,"
Afcons Infrastructure Ltd.,AFCONS,NSE,Infrastructure,Engineering - Construction,2059616.00,9.95,207021.00,38762873.00,79.00,490683.00,337.45,10.13,"AFCONS,"
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,NSE,Finance,Insurance,4051819.00,9.65,419706.00,9213655.00,10.58,870558.00,561.25,2.70,"ICICIPRULI,"
Bikaji Foods International Ltd.,BIKAJI,NSE,Fast Moving Consumer Goods,Consumer Food,277253.00,8.69,31917.00,321793.00,4.56,70506.00,644.30,1.03,"BIKAJI,"
Railtel Corporation Of India Ltd.,RAILTEL,NSE,Telecom,Telecommunication - Service  Provider,3087519.00,7.25,426012.00,69537346.00,44.02,1579667.00,336.73,18.41,"RAILTEL,"
Siemens Ltd.,SIEMENS,NSE,Capital Goods,Electric Equipment,785981.00,5.96,131821.00,2134727.00,5.87,363465.00,3576.10,6.96,"SIEMENS,"
Just Dial Ltd.,JUSTDIAL,NSE,Information Technology,BPO/ITeS,528963.00,5.36,98711.00,1157749.00,4.74,244033.00,543.90,-4.82,"JUSTDIAL,"
RHI Magnesita India Ltd.,RHIM,NSE,Capital Goods,Refractories,242154.00,5.23,46282.00,454024.00,3.55,127910.00,395.50,2.39,"RHIM,"
Aarti Industries Ltd.,AARTIIND,NSE,Chemicals,Chemicals,2462712.00,4.88,504300.00,3859281.00,4.11,939672.00,431.70,1.74,"AARTIIND,"
Global Health Ltd.,MEDANTA,NSE,Healthcare,Hospital & Healthcare Services,285055.00,4.75,59981.00,370961.00,2.95,125636.00,1088.70,2.57,"MEDANTA,"
Supreme Petrochem Ltd.,SPLPETRO,NSE,Crude Oil,Petrochemicals,140501.00,4.53,31040.00,290914.00,3.80,76551.00,766.65,5.35,"SPLPETRO,"
LG Electronics India Ltd.,LGEINDIA,NSE,Consumer Durables,Consumer Durables - Electronics,1591491.00,3.88,410096.00,2904153.00,3.96,734156.00,1534.20,2.21,"LGEINDIA,"
Asahi India Glass Ltd.,ASAHIINDIA,NSE,Construction Materials,Glass,164775.00,3.53,46624.00,447494.00,3.49,128392.00,850.20,2.68,"ASAHIINDIA,"
Brigade Enterprises Ltd.,BRIGADE,NSE,Realty,Construction - Real Estate,1129776.00,3.38,334521.00,1554176.00,2.65,586064.00,739.00,-0.85,"BRIGADE,"
Netweb Technologies India Ltd.,NETWEB,NSE,Consumer Durables,IT - Hardware,605667.00,3.23,187449.00,3228438.00,3.97,814219.00,3563.70,7.68,"NETWEB,"
PNB Housing Finance Ltd.,PNBHOUSING,NSE,Finance,Finance - Housing,839335.00,3.13,268142.00,1467608.00,2.17,676435.00,866.55,2.35,"PNBHOUSING,"
Inox Wind Ltd.,INOXWIND,NSE,Capital Goods,Electric Equipment,10759441.00,3.09,3476501.00,40317164.00,3.26,12360224.00,93.41,6.69,"INOXWIND,"
Sun TV Network Ltd.,SUNTV,NSE,Media & Entertainment,TV Broadcasting & Software Production,275387.00,3.07,89624.00,462780.00,1.80,257077.00,620.55,0.48,"SUNTV,"
AIA Engineering Ltd.,AIAENG,NSE,Automobile & Ancillaries,Castings/Forgings,76599.00,2.95,26009.00,94838.00,1.88,50550.00,3920.20,2.43,"AIAENG,"
Kirloskar Oil Engines Ltd.,KIRLOSENG,NSE,Capital Goods,Engineering - Industrial Equipments,462887.00,2.85,162272.00,1408894.00,3.77,373418.00,1597.00,7.54,"KIRLOSENG,"
Graphite India Ltd.,GRAPHITE,NSE,Capital Goods,Electrodes & Welding Equipment,731691.00,2.81,260625.00,2225299.00,2.43,917093.00,666.35,4.51,"GRAPHITE,"
Swan Corp Ltd.,SWANCORP,NSE,Textile,Textile,752680.00,2.75,273444.00,3564754.00,5.05,705557.00,332.20,4.51,"SWANCORP,"
Acutaas Chemicals Ltd.,ACUTAAS,NSE,Healthcare,Pharmaceuticals & Drugs,417960.00,2.74,152614.00,719290.00,2.10,343143.00,2291.70,-4.26,"ACUTAAS,"
Dabur India Ltd.,DABUR,NSE,Fast Moving Consumer Goods,Household & Personal Products,2333086.00,2.71,862302.00,4079260.00,2.30,1773452.00,433.25,2.00,"DABUR,"
Piramal Finance Ltd.,PIRAMALFIN,NSE,Finance,Finance - Housing,256581.00,2.69,95252.00,370605.00,1.96,188746.00,1743.70,-0.80,"PIRAMALFIN,"
Deepak Fertilisers And Petrochemicals Corporation Ltd.,DEEPAKFERT,NSE,Chemicals,Chemicals,414535.00,2.67,155213.00,4806593.00,11.05,434796.00,1212.15,13.11,"DEEPAKFERT,"
HEG Ltd.,HEG,NSE,Capital Goods,Electrodes & Welding Equipment,1091207.00,2.67,409109.00,3332608.00,2.61,1275581.00,590.75,4.38,"HEG,"
CE Info Systems Ltd.,MAPMYINDIA,NSE,Information Technology,IT - Software,107384.00,2.66,40406.00,211929.00,2.04,103991.00,934.95,1.45,"MAPMYINDIA,"
Campus Activewear Ltd.,CAMPUS,NSE,Retailing,Footwear,214268.00,2.63,81387.00,377247.00,1.91,197257.00,248.48,4.54,"CAMPUS,"
Inventurus Knowledge Solutions Ltd.,IKS,NSE,Information Technology,BPO/ITeS,234536.00,2.59,90538.00,331517.00,1.92,172861.00,1517.00,0.20,"IKS,"
