Higher Trade and Delivery Quantity,
Date: 13-Apr-2026,
Major Stocks,
Generated by and for: ratnesh.gold@gmail.com,

Stock Name,Symbol,Exch,Sector Name,Industry Name,Delivered Qty,Delv Times (x),Avg Delv Qty,Traded Qty,Traded Times (x),Avg Traded Qty,Close,Chg %,Symbol with Comma for External Upload
Jyoti CNC Automation Ltd.,JYOTICNC,NSE,Capital Goods,Engineering - Industrial Equipments,3016897.00,18.51,162996.00,8078086.00,21.61,373871.00,698.95,-14.68,"JYOTICNC,"
Onesource Specialty Pharma Ltd.,ONESOURCE,NSE,Healthcare,Pharmaceuticals & Drugs,830102.00,7.89,105174.00,1879985.00,6.41,293421.00,1545.10,7.38,"ONESOURCE,"
APL Apollo Tubes Ltd.,APLAPOLLO,NSE,Iron & Steel,Steel & Iron Products,1243835.00,4.60,270512.00,1776804.00,3.28,542532.00,1979.80,-4.11,"APLAPOLLO,"
Sarda Energy & Minerals Ltd.,SARDAEN,NSE,Iron & Steel,Steel & Iron Products,727914.00,4.51,161544.00,4815900.00,11.51,418391.00,579.00,4.40,"SARDAEN,"
Tata Chemicals Ltd.,TATACHEM,NSE,Chemicals,Chemicals,1846793.00,4.44,415560.00,14172700.00,11.21,1263913.00,717.60,4.02,"TATACHEM,"
NTPC Green Energy Ltd.,NTPCGREEN,NSE,Power,Power Generation/Distribution,14407573.00,4.42,3262868.00,91182889.00,12.62,7225491.00,104.23,7.27,"NTPCGREEN,"
Aarti Industries Ltd.,AARTIIND,NSE,Chemicals,Chemicals,1339907.00,4.39,305417.00,2312256.00,3.29,701923.00,424.30,0.13,"AARTIIND,"
Kirloskar Brothers Ltd.,KIRLOSBROS,NSE,Capital Goods,Compressors / Pumps,121491.00,4.09,29683.00,457813.00,5.55,82488.00,1757.20,10.63,"KIRLOSBROS,"
Tata Investment Corporation Ltd.,TATAINVEST,NSE,Finance,Finance - NBFC,1109862.00,3.98,278755.00,13553272.00,13.26,1021937.00,713.20,7.14,"TATAINVEST,"
Triveni Turbine Ltd.,TRITURBINE,NSE,Capital Goods,Engineering - Industrial Equipments,891098.00,3.55,250711.00,1184001.00,2.61,454384.00,459.55,-0.13,"TRITURBINE,"
Bharat Heavy Electricals Ltd.,BHEL,NSE,Capital Goods,Engineering - Industrial Equipments,24077923.00,3.54,6792565.00,42151898.00,2.27,18586666.00,287.77,1.07,"BHEL,"
Zydus Wellness Ltd.,ZYDUSWELL,NSE,Fast Moving Consumer Goods,Consumer Food,1450238.00,3.35,432609.00,29097398.00,4.15,7008388.00,517.80,5.73,"ZYDUSWELL,"
Acme Solar Holdings Ltd.,ACMESOLAR,NSE,Power,Power Generation/Distribution,1419993.00,3.11,456397.00,9112073.00,7.43,1226181.00,284.05,5.73,"ACMESOLAR,"
Afcons Infrastructure Ltd.,AFCONS,NSE,Infrastructure,Engineering - Construction,430166.00,3.04,141500.00,966573.00,2.78,347763.00,306.40,-5.69,"AFCONS,"
Affle 3i Ltd.,AFFLE,NSE,Information Technology,BPO/ITeS,261090.00,2.97,87893.00,387082.00,2.09,185521.00,1420.00,1.31,"AFFLE,"
Timken India Ltd.,TIMKEN,NSE,Automobile & Ancillaries,Bearings,61070.00,2.95,20725.00,104003.00,2.65,39310.00,3470.80,-0.51,"TIMKEN,"
Intellect Design Arena Ltd.,INTELLECT,NSE,Information Technology,IT - Software,276735.00,2.73,101267.00,752920.00,2.82,267012.00,652.05,-4.04,"INTELLECT,"
Astrazeneca Pharma India Ltd.,ASTRAZEN,NSE,Healthcare,Pharmaceuticals & Drugs,10274.00,2.63,3905.00,55429.00,5.55,9994.00,8725.00,5.13,"ASTRAZEN,"
Tata Power Company Ltd.,TATAPOWER,NSE,Power,Power Generation/Distribution,6904372.00,2.55,2707121.00,20611836.00,3.12,6608213.00,409.55,2.55,"TATAPOWER,"
Ather Energy Ltd.,ATHERENERG,NSE,Automobile & Ancillaries,Automobile Two & Three Wheelers,3249967.00,2.53,1285748.00,27333392.00,5.58,4896897.00,907.85,5.19,"ATHERENERG,"
JK Cement Ltd.,JKCEMENT,NSE,Construction Materials,Cement & Construction Materials,75490.00,2.49,30280.00,123153.00,2.11,58481.00,5452.00,-4.68,"JKCEMENT,"
Sun TV Network Ltd.,SUNTV,NSE,Media & Entertainment,TV Broadcasting & Software Production,166167.00,2.44,68064.00,524373.00,2.67,196684.00,617.60,3.26,"SUNTV,"
Mankind Pharma Ltd.,MANKIND,NSE,Healthcare,Pharmaceuticals & Drugs,499281.00,2.43,205346.00,644196.00,1.69,381164.00,2077.40,-0.08,"MANKIND,"
