Higher Trade and Delivery Quantity,
Date: 09-Apr-2026,
Major Stocks,
Generated by and for: ratnesh.gold@gmail.com,

Stock Name,Symbol,Exch,Sector Name,Industry Name,Delivered Qty,Delv Times (x),Avg Delv Qty,Traded Qty,Traded Times (x),Avg Traded Qty,Close,Chg %,Symbol with Comma for External Upload
Relaxo Footwears Ltd.,RELAXO,NSE,Retailing,Footwear,1316319.00,19.66,66960.00,2664893.00,14.64,182061.00,281.15,0.36,"RELAXO,"
Medplus Health Services Ltd.,MEDPLUS,NSE,Retailing,Retailing,1028860.00,16.99,60562.00,1115405.00,10.45,106770.00,855.75,-0.66,"MEDPLUS,"
ITI Ltd.,ITI,NSE,Telecom,Telecommunication - Equipment,1842653.00,11.49,160337.00,96009610.00,134.54,713608.00,297.39,11.49,"ITI,"
Bayer CropScience Ltd.,BAYERCROP,NSE,Chemicals,Pesticides & Agrochemicals,61271.00,7.42,8252.00,72771.00,4.32,16861.00,4808.90,-0.05,"BAYERCROP,"
KEC International Ltd.,KEC,NSE,Infrastructure,Engineering - Construction,1771495.00,7.08,250321.00,10963702.00,15.42,710947.00,578.20,1.87,"KEC,"
K.P.R. Mill Ltd.,KPRMILL,NSE,Textile,Textile,506884.00,6.29,80586.00,706382.00,3.68,192013.00,859.75,-0.30,"KPRMILL,"
Meesho Ltd.,MEESHO,NSE,Information Technology,e-Commerce,10904742.00,6.07,1797753.00,61698066.00,17.24,3578538.00,165.47,8.35,"MEESHO,"
Honasa Consumer Ltd.,HONASA,NSE,Trading,Trading,1895524.00,4.85,390988.00,10467745.00,14.16,739341.00,332.35,6.05,"HONASA,"
The Fertilisers And Chemicals Travancore Ltd.,FACT,NSE,Chemicals,Fertilizers,292866.00,4.57,64049.00,4208925.00,9.32,451427.00,860.95,5.28,"FACT,"
Indiamart Intermesh Ltd.,INDIAMART,NSE,Information Technology,e-Commerce,344754.00,4.35,79240.00,399114.00,3.08,129786.00,2100.20,0.24,"INDIAMART,"
SBFC Finance Ltd.,SBFC,NSE,Finance,Finance - NBFC,1764175.00,4.26,414055.00,2559585.00,2.72,940587.00,87.98,-0.52,"SBFC,"
Triveni Turbine Ltd.,TRITURBINE,NSE,Capital Goods,Engineering - Industrial Equipments,485554.00,4.01,121194.00,727129.00,2.48,293048.00,454.90,-2.12,"TRITURBINE,"
Indraprastha Gas Ltd.,IGL,NSE,Gas Transmission,Gas Transmission/Marketing,4169180.00,3.92,1064059.00,5994358.00,2.53,2373664.00,155.10,0.40,"IGL,"
Angel One Ltd.,ANGELONE,NSE,Finance,Finance - Stock Broking,10247319.00,3.82,2683647.00,29671494.00,3.48,8518337.00,281.80,5.30,"ANGELONE,"
Zen Technologies Ltd.,ZENTEC,NSE,Capital Goods,Defence,447958.00,3.62,123656.00,2859129.00,7.38,387236.00,1533.20,5.71,"ZENTEC,"
OLA Electric Mobility Ltd.,OLAELEC,NSE,Automobile & Ancillaries,Automobile Two & Three Wheelers,107352264.00,3.57,30099562.00,786402928.00,2.72,288714299.00,36.32,19.99,"OLAELEC,"
Schaeffler India Ltd.,SCHAEFFLER,NSE,Automobile & Ancillaries,Bearings,182657.00,3.42,53467.00,236450.00,2.49,94866.00,3846.10,-0.99,"SCHAEFFLER,"
Poonawalla Fincorp Ltd.,POONAWALLA,NSE,Finance,Finance - NBFC,2244174.00,3.24,692612.00,4830863.00,3.23,1496025.00,401.75,-3.15,"POONAWALLA,"
Ather Energy Ltd.,ATHERENERG,NSE,Automobile & Ancillaries,Automobile Two & Three Wheelers,2195950.00,3.23,679363.00,8948018.00,4.13,2164288.00,820.25,6.43,"ATHERENERG,"
Shree Cement Ltd.,SHREECEM,NSE,Construction Materials,Cement & Construction Materials,56698.00,3.10,18317.00,103272.00,3.20,32251.00,23990.00,-1.52,"SHREECEM,"
Thermax Ltd.,THERMAX,NSE,Capital Goods,Engineering - Industrial Equipments,266101.00,3.05,87186.00,676592.00,4.28,158066.00,3535.10,7.40,"THERMAX,"
Bosch Ltd.,BOSCHLTD,NSE,Automobile & Ancillaries,Auto Ancillary,70938.00,3.04,23302.00,262676.00,3.40,77148.00,36770.00,2.32,"BOSCHLTD,"
Rites Ltd.,RITES,NSE,Other,Engineering Consultancy,735205.00,2.97,247933.00,5855768.00,8.48,690680.00,205.45,2.51,"RITES,"
Anand Rathi Wealth Ltd.,ANANDRATHI,NSE,Finance,Finance - Others,393259.00,2.95,133500.00,1704537.00,6.22,274063.00,3553.70,4.57,"ANANDRATHI,"
Canara HSBC Life Insurance Company Ltd.,CANHLIFE,NSE,Finance,Insurance,1310013.00,2.84,461876.00,1526037.00,2.31,659840.00,146.05,-0.19,"CANHLIFE,"
United Breweries Ltd.,UBL,NSE,Alcohol,Breweries & Distilleries,181537.00,2.83,64214.00,324392.00,2.40,135404.00,1467.20,-1.96,"UBL,"
Anupam Rasayan India Ltd.,ANURAS,NSE,Chemicals,Chemicals,204428.00,2.74,74595.00,268062.00,1.82,146917.00,1275.90,1.20,"ANURAS,"
HFCL Ltd.,HFCL,NSE,Telecom,Telecom-Infrastructure,16666561.00,2.62,6360078.00,77596073.00,4.45,17455579.00,79.61,5.91,"HFCL,"
JBM Auto Ltd.,JBMA,NSE,Automobile & Ancillaries,Auto Ancillary,646872.00,2.62,247256.00,8460712.00,2.48,3414604.00,604.95,4.26,"JBMA,"
Waaree Energies Ltd.,WAAREEENER,NSE,Capital Goods,Electric Equipment,936701.00,2.61,359207.00,2495594.00,1.90,1311773.00,3232.30,3.43,"WAAREEENER,"
KFin Technologies Ltd.,KFINTECH,NSE,Finance,Depository Services,806338.00,2.57,313234.00,1784346.00,1.84,972042.00,892.25,-2.95,"KFINTECH,"
ICICI Prudential Asset Management Company Ltd.,ICICIAMC,NSE,Finance,Finance - Asset Management,796039.00,2.46,323619.00,1193723.00,1.97,604426.00,3251.10,4.08,"ICICIAMC,"
Tata Investment Corporation Ltd.,TATAINVEST,NSE,Finance,Finance - NBFC,412025.00,2.46,167152.00,2072516.00,3.87,535654.00,636.85,2.85,"TATAINVEST,"
Aptus Value Housing Finance India Ltd.,APTUS,NSE,Finance,Finance - Housing,3762021.00,2.35,1603548.00,5580762.00,2.07,2702363.00,217.83,2.80,"APTUS,"
Olectra Greentech Ltd.,OLECTRA,NSE,Automobile & Ancillaries,Automobiles-Trucks/Lcv,400534.00,2.35,170235.00,1862594.00,2.59,718961.00,1131.30,4.18,"OLECTRA,"
Nava Ltd.,NAVA,NSE,Ferro Manganese,Ferro & Silica Manganese,236387.00,2.33,101668.00,690056.00,3.23,213635.00,594.45,2.47,"NAVA,"
Petronet LNG Ltd.,PETRONET,NSE,Industrials Gases & Fuels,Industrial  Gases & Fuels,4875517.00,2.31,2106220.00,9880604.00,2.05,4831272.00,271.37,0.36,"PETRONET,"
Minda Corporation Ltd.,MINDACORP,NSE,Automobile & Ancillaries,Auto Ancillary,139000.00,2.26,61502.00,263470.00,1.51,174532.00,514.40,-3.41,"MINDACORP,"
Belrise Industries Ltd.,BELRISE,NSE,Automobile & Ancillaries,Auto Ancillary,3169710.00,2.20,1441655.00,10791867.00,2.95,3652968.00,202.23,4.13,"BELRISE,"
Lenskart Solutions Ltd.,LENSKART,NSE,Healthcare,Medical Equipment/Supplies/Accessories,2873183.00,2.10,1368546.00,4184145.00,1.95,2142810.00,514.40,1.74,"LENSKART,"
Rashtriya Chemicals and Fertilizers Ltd.,RCF,NSE,Chemicals,Fertilizers,1384283.00,2.10,659476.00,6657544.00,2.42,2747755.00,127.86,1.87,"RCF,"
Aadhar Housing Finance Ltd.,AADHARHFC,NSE,Finance,Finance - Housing,307650.00,2.08,148111.00,457819.00,1.66,275812.00,472.00,0.15,"AADHARHFC,"
Apar Industries Ltd.,APARINDS,NSE,Capital Goods,Electric Equipment,65055.00,2.06,31587.00,195441.00,1.91,102294.00,10767.00,2.65,"APARINDS,"
NHPC Ltd.,NHPC,NSE,Power,Power Generation/Distribution,9059317.00,2.02,4475292.00,31334772.00,3.16,9924065.00,77.11,0.53,"NHPC,"
Sumitomo Chemical India Ltd.,SUMICHEM,NSE,Chemicals,Pesticides & Agrochemicals,154094.00,2.02,76302.00,275557.00,1.68,164205.00,415.15,1.16,"SUMICHEM,"
V-Guard Industries Ltd.,VGUARD,NSE,Capital Goods,Electric Equipment,101540.00,2.01,50535.00,251239.00,1.78,141152.00,328.15,1.11,"VGUARD,"
Finolex Industries Ltd.,FINPIPE,NSE,Plastic Products,Plastic Products,427878.00,1.99,215524.00,803040.00,1.58,506803.00,162.01,-1.16,"FINPIPE,"
360 One Wam Ltd.,360ONE,NSE,Finance,Finance - Stock Broking,1845661.00,1.94,953224.00,3056871.00,1.99,1538991.00,998.10,2.72,"360ONE,"
Aditya Birla Capital Ltd.,ABCAPITAL,NSE,Finance,Finance - NBFC,3217848.00,1.94,1661623.00,7163483.00,1.56,4583530.00,334.55,-1.14,"ABCAPITAL,"
Exide Industries Ltd.,EXIDEIND,NSE,Automobile & Ancillaries,Batteries,1105620.00,1.94,568857.00,3649465.00,2.12,1722071.00,311.25,-0.92,"EXIDEIND,"
Bharat Heavy Electricals Ltd.,BHEL,NSE,Capital Goods,Engineering - Industrial Equipments,9766766.00,1.92,5098572.00,31642983.00,2.31,13701165.00,277.20,4.33,"BHEL,"
ABB India Ltd.,ABB,NSE,Capital Goods,Electric Equipment,288630.00,1.90,151686.00,591302.00,1.68,350949.00,6614.00,0.75,"ABB,"
Gujarat Narmada Valley Fertilizers & Chemicals Ltd,GNFC,NSE,Chemicals,Chemicals,232697.00,1.90,122496.00,510786.00,1.81,281940.00,428.50,2.19,"GNFC,"
IFCI Ltd.,IFCI,NSE,Finance,Finance Term Lending,6634714.00,1.88,3533392.00,41577187.00,2.52,16481406.00,56.03,1.21,"IFCI,"
One97 Communications Ltd.,PAYTM,NSE,Information Technology,Fintech,1820080.00,1.88,969036.00,4460692.00,1.65,2701038.00,1097.95,-1.35,"PAYTM,"
Tata Communications Ltd.,TATACOMM,NSE,Telecom,Telecommunication - Service  Provider,210383.00,1.83,114809.00,424150.00,1.80,235348.00,1471.00,0.16,"TATACOMM,"
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,NSE,Consumer Durables,Consumer Durables - Domestic Appliances,2199484.00,1.79,1225732.00,4764822.00,1.81,2634678.00,237.90,-3.31,"CROMPTON,"
Jaiprakash Power Ventures Ltd.,JPPOWER,NSE,Power,Power Generation/Distribution,32398111.00,1.77,18305114.00,139760608.00,1.76,79503084.00,16.81,2.25,"JPPOWER,"
Lupin Ltd.,LUPIN,NSE,Healthcare,Pharmaceuticals & Drugs,1365401.00,1.77,772874.00,2196761.00,1.71,1286237.00,2295.10,0.04,"LUPIN,"
Abbott India Ltd.,ABBOTINDIA,NSE,Healthcare,Pharmaceuticals & Drugs,6320.00,1.76,3583.00,10072.00,1.51,6674.00,25780.00,-0.27,"ABBOTINDIA,"
Colgate-Palmolive (India) Ltd.,COLPAL,NSE,Fast Moving Consumer Goods,Household & Personal Products,316771.00,1.76,179676.00,604795.00,1.70,355859.00,1906.70,-0.02,"COLPAL,"
Oil India Ltd.,OIL,NSE,Crude Oil,Oil Exploration,5344020.00,1.76,3031015.00,10892953.00,1.55,7040842.00,470.75,2.57,"OIL,"
Britannia Industries Ltd.,BRITANNIA,NSE,Fast Moving Consumer Goods,Consumer Food,323582.00,1.75,184789.00,624921.00,1.94,322348.00,5475.00,-2.14,"BRITANNIA,"
Saregama India Ltd.,SAREGAMA,NSE,Media & Entertainment,"Film Production, Distribution & Entertainment",452081.00,1.74,260306.00,894950.00,1.83,490142.00,317.15,-1.18,"SAREGAMA,"
Oberoi Realty Ltd.,OBEROIRLTY,NSE,Realty,Construction - Real Estate,468787.00,1.71,274872.00,1071322.00,1.56,687175.00,1653.50,1.08,"OBEROIRLTY,"
Jain Resource Recycling Ltd.,JAINREC,NSE,Non - Ferrous Metals,Metal - Non Ferrous,709756.00,1.70,417862.00,1981800.00,1.71,1160229.00,422.50,-5.01,"JAINREC,"
Afcons Infrastructure Ltd.,AFCONS,NSE,Infrastructure,Engineering - Construction,155480.00,1.68,92551.00,391663.00,1.76,222160.00,310.65,2.25,"AFCONS,"
JM Financial Ltd.,JMFINANCIL,NSE,Finance,Finance - Investment,1589639.00,1.68,945391.00,5506847.00,1.95,2828514.00,130.32,1.10,"JMFINANCIL,"
Info Edge (India) Ltd.,NAUKRI,NSE,Information Technology,BPO/ITeS,1617747.00,1.65,978821.00,3794166.00,2.24,1692291.00,1002.40,-2.93,"NAUKRI,"
The Jammu & Kashmir Bank Ltd.,J&KBANK,NSE,Banking,Bank - Private,2419907.00,1.63,1488262.00,7070969.00,1.62,4375890.00,121.57,-1.47,"J&KBANK,"
Cohance Lifesciences Ltd.,COHANCE,NSE,Healthcare,Pharmaceuticals & Drugs,699331.00,1.62,432871.00,1388320.00,1.74,796502.00,316.85,2.37,"COHANCE,"
ICICI Lombard General Insurance Company Ltd.,ICICIGI,NSE,Finance,Insurance,685842.00,1.57,435649.00,1126914.00,1.53,737893.00,1768.60,1.03,"ICICIGI,"
Hitachi Energy India Ltd.,POWERINDIA,NSE,Capital Goods,Electric Equipment,58435.00,1.52,38420.00,255940.00,2.11,121555.00,27315.00,5.40,"POWERINDIA,"
PI Industries Ltd.,PIIND,NSE,Chemicals,Pesticides & Agrochemicals,228154.00,1.51,151326.00,437619.00,1.58,276274.00,2880.70,0.13,"PIIND,"
