Higher Trade and Delivery Quantity,
Date: 08-Apr-2026,
Major Stocks,
Generated by and for: ratnesh.gold@gmail.com,

Stock Name,Symbol,Exch,Sector Name,Industry Name,Delivered Qty,Delv Times (x),Avg Delv Qty,Traded Qty,Traded Times (x),Avg Traded Qty,Close,Chg %,Symbol with Comma for External Upload
Go Digit General Insurance Ltd.,GODIGIT,NSE,Finance,Insurance,1458555.00,14.49,100669.00,1807438.00,8.12,222652.00,324.35,-0.09,"GODIGIT,"
UTI Asset Management Company Ltd.,UTIAMC,NSE,Finance,Finance - Asset Management,672093.00,10.09,66607.00,864798.00,7.46,115985.00,964.85,3.56,"UTIAMC,"
Dr. Agarwal's Health Care Ltd.,AGARWALEYE,NSE,Healthcare,Hospital & Healthcare Services,479881.00,8.21,58437.00,614740.00,2.96,207949.00,424.40,-2.29,"AGARWALEYE,"
Canara HSBC Life Insurance Company Ltd.,CANHLIFE,NSE,Finance,Insurance,1625437.00,8.10,200789.00,1830634.00,4.38,417671.00,146.33,0.90,"CANHLIFE,"
Leela Palaces Hotels & Resorts Ltd.,THELEELA,NSE,Hospitality,"Hotel, Resort & Restaurants",629138.00,7.49,83992.00,740682.00,4.97,148966.00,428.85,3.56,"THELEELA,"
Gallantt Ispat Ltd.,GALLANTT,NSE,Iron & Steel,Steel & Iron Products,1752570.00,7.10,246887.00,30168654.00,5.18,5827576.00,671.05,4.50,"GALLANTT,"
Anthem Biosciences Ltd.,ANTHEM,NSE,Healthcare,Pharmaceuticals & Drugs,1023132.00,6.55,156174.00,1192632.00,5.09,234108.00,690.70,3.52,"ANTHEM,"
Bombay Burmah Trading Corporation Ltd.,BBTC,NSE,Automobile & Ancillaries,Auto Ancillary,143004.00,6.35,22523.00,236578.00,4.39,53912.00,1473.00,2.93,"BBTC,"
Kalpataru Projects International Ltd.,KPIL,NSE,Infrastructure,Engineering - Construction,373322.00,6.18,60401.00,511964.00,4.27,119763.00,1132.80,3.70,"KPIL,"
TBO Tek Ltd.,TBOTEK,NSE,Hospitality,Travel Services,302966.00,5.83,51969.00,1183663.00,11.51,102835.00,1162.60,7.38,"TBOTEK,"
ITC Hotels Ltd.,ITCHOTELS,NSE,Hospitality,"Hotel, Resort & Restaurants",24990144.00,5.72,4368154.00,35631216.00,4.69,7594871.00,151.94,3.52,"ITCHOTELS,"
Oil India Ltd.,OIL,NSE,Crude Oil,Oil Exploration,8897101.00,5.52,1612404.00,16422905.00,3.25,5060592.00,458.95,-4.76,"OIL,"
Honeywell Automation India Ltd.,HONAUT,NSE,Consumer Durables,Consumer Durables - Electronics,14610.00,5.01,2919.00,24216.00,4.14,5854.00,27150.00,-0.24,"HONAUT,"
Jyothy Labs Ltd.,JYOTHYLAB,NSE,Fast Moving Consumer Goods,Household & Personal Products,859485.00,4.31,199537.00,1313671.00,2.90,452569.00,224.80,5.36,"JYOTHYLAB,"
Medplus Health Services Ltd.,MEDPLUS,NSE,Retailing,Retailing,187551.00,4.24,44263.00,288512.00,3.50,82462.00,861.45,2.16,"MEDPLUS,"
AWL Agri Business Ltd.,AWL,NSE,Fast Moving Consumer Goods,Edible Oil,4100202.00,4.12,995744.00,8423584.00,3.36,2505568.00,178.98,-0.04,"AWL,"
Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG,NSE,Finance,Finance - Investment,456294.00,4.12,110728.00,4499967.00,21.02,214125.00,1633.80,16.98,"CHOLAHLDNG,"
Brigade Enterprises Ltd.,BRIGADE,NSE,Realty,Construction - Real Estate,622494.00,3.97,156876.00,990079.00,1.60,617442.00,718.05,3.84,"BRIGADE,"
International Gemological Institute Ltd.,IGIL,NSE,Other,Business Support,642165.00,3.92,163759.00,984839.00,2.48,397569.00,335.40,5.65,"IGIL,"
Adani Total Gas Ltd.,ATGL,NSE,Gas Transmission,Gas Transmission/Marketing,1274420.00,3.71,343090.00,15289752.00,8.32,1837119.00,559.00,7.59,"ATGL,"
Aditya Birla Real Estate Ltd.,ABREL,NSE,Realty,Construction - Real Estate,300383.00,3.70,81279.00,2619341.00,14.50,180632.00,1263.30,6.77,"ABREL,"
Zee Entertainment Enterprises Ltd.,ZEEL,NSE,Media & Entertainment,TV Broadcasting & Software Production,15166413.00,3.68,4119217.00,35920241.00,3.47,10346963.00,78.79,7.10,"ZEEL,"
KFin Technologies Ltd.,KFINTECH,NSE,Finance,Depository Services,861751.00,3.67,234834.00,2029678.00,2.56,793995.00,919.35,1.36,"KFINTECH,"
Chalet Hotels Ltd.,CHALET,NSE,Hospitality,"Hotel, Resort & Restaurants",257803.00,3.64,70817.00,334556.00,2.65,126269.00,766.10,3.69,"CHALET,"
IIFL Finance Ltd.,IIFL,NSE,Finance,Finance - NBFC,2296209.00,3.40,675446.00,3820112.00,2.86,1336011.00,446.90,4.32,"IIFL,"
Patanjali Foods Ltd.,PATANJALI,NSE,Fast Moving Consumer Goods,Edible Oil,2135263.00,3.35,636540.00,5346258.00,2.83,1887923.00,468.55,0.10,"PATANJALI,"
