Higher Trade and Delivery Quantity,
Date: 16-Apr-2026,
Major Stocks,
Generated by and for: ratnesh.gold@gmail.com,

Stock Name,Symbol,Exch,Sector Name,Industry Name,Delivered Qty,Delv Times (x),Avg Delv Qty,Traded Qty,Traded Times (x),Avg Traded Qty,Close,Chg %,Symbol with Comma for External Upload
NLC India Ltd.,NLCINDIA,NSE,Power,Power Generation/Distribution,7389075.00,8.86,834054.00,41546367.00,22.96,1809456.00,297.75,8.19,"NLCINDIA,"
Gland Pharma Ltd.,GLAND,NSE,Healthcare,Pharmaceuticals & Drugs,237500.00,8.58,27689.00,276350.00,5.58,49542.00,1735.60,-0.98,"GLAND,"
Gujarat Mineral Development Corporation Ltd.,GMDCLTD,NSE,Mining,Mining & Minerals,7803942.00,8.25,946024.00,51557208.00,16.31,3161346.00,746.75,20.00,"GMDCLTD,"
Eris Lifesciences Ltd.,ERIS,NSE,Healthcare,Pharmaceuticals & Drugs,283138.00,7.08,39977.00,322173.00,4.55,70734.00,1465.50,0.97,"ERIS,"
Firstsource Solutions Ltd.,FSL,NSE,Information Technology,BPO/ITeS,4241239.00,6.88,616286.00,70448634.00,51.74,1361578.00,244.22,10.83,"FSL,"
Gujarat Fluorochemicals Ltd.,FLUOROCHEM,NSE,Chemicals,Chemicals,103120.00,6.56,15720.00,130813.00,3.75,34861.00,3376.70,-0.07,"FLUOROCHEM,"
Sonata Software Ltd.,SONATSOFTW,NSE,Information Technology,IT - Software,1235172.00,5.87,210362.00,21846812.00,41.29,529158.00,279.27,10.04,"SONATSOFTW,"
HDB Financial Services Ltd.,HDBFS,NSE,Finance,Finance - NBFC,2802299.00,5.78,485197.00,12462293.00,16.20,769488.00,686.00,6.47,"HDBFS,"
Swan Corp Ltd.,SWANCORP,NSE,Textile,Textile,1892293.00,4.91,385500.00,17626892.00,13.53,1303111.00,352.80,6.20,"SWANCORP,"
Shipping Corporation Of India Ltd.,SCI,NSE,Logistics,Shipping,7270870.00,4.42,1645990.00,41850036.00,9.02,4637609.00,288.93,14.05,"SCI,"
Syrma SGS Technology Ltd.,SYRMA,NSE,Electricals,Electronics - Components,1523434.00,4.05,376095.00,6845002.00,6.52,1050251.00,968.75,8.23,"SYRMA,"
HEG Ltd.,HEG,NSE,Capital Goods,Electrodes & Welding Equipment,2016074.00,3.46,582171.00,7515254.00,4.29,1753519.00,626.85,6.11,"HEG,"
REC Ltd.,RECLTD,NSE,Finance,Finance Term Lending,9002941.00,3.33,2704939.00,21771221.00,3.54,6150959.00,364.20,3.28,"RECLTD,"
PB Fintech Ltd.,POLICYBZR,NSE,Information Technology,Fintech,2446105.00,3.25,753398.00,4186963.00,3.23,1296072.00,1550.50,4.72,"POLICYBZR,"
Fine Organic Industries Ltd.,FINEORG,NSE,Chemicals,Chemicals,16528.00,3.23,5114.00,38763.00,3.66,10605.00,4901.20,5.59,"FINEORG,"
DCM Shriram Ltd.,DCMSHRIRAM,NSE,Diversified,Diversified,68791.00,3.11,22087.00,341971.00,6.88,49737.00,1185.00,0.89,"DCMSHRIRAM,"
Gallantt Ispat Ltd.,GALLANTT,NSE,Iron & Steel,Steel & Iron Products,2350450.00,3.05,769631.00,51729440.00,4.12,12557341.00,927.10,17.33,"GALLANTT,"
CESC Ltd.,CESC,NSE,Power,Power Generation/Distribution,2490201.00,3.01,826641.00,5919386.00,2.89,2051328.00,170.48,4.36,"CESC,"
Vijaya Diagnostic Centre Ltd.,VIJAYA,NSE,Healthcare,Hospital & Healthcare Services,123305.00,2.83,43589.00,178967.00,2.24,79980.00,1019.15,0.38,"VIJAYA,"
Indus Towers Ltd.,INDUSTOWER,NSE,Telecom,Telecommunication - Service  Provider,6499375.00,2.81,2309738.00,9807849.00,2.02,4861420.00,413.15,-1.69,"INDUSTOWER,"
Railtel Corporation Of India Ltd.,RAILTEL,NSE,Telecom,Telecommunication - Service  Provider,2708444.00,2.76,979719.00,26416380.00,1.75,15123183.00,337.87,0.34,"RAILTEL,"
Affle 3i Ltd.,AFFLE,NSE,Information Technology,BPO/ITeS,397403.00,2.73,145479.00,628100.00,2.50,251686.00,1446.80,1.97,"AFFLE,"
Aster DM Healthcare Ltd.,ASTERDM,NSE,Healthcare,Hospital & Healthcare Services,406817.00,2.63,154570.00,633612.00,1.72,367994.00,674.35,-1.27,"ASTERDM,"
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,NSE,Logistics,Port,4644137.00,2.59,1796296.00,7476052.00,1.63,4573615.00,1549.80,2.51,"ADANIPORTS,"
Aditya Birla Lifestyle Brands Ltd.,ABLBL,NSE,Retailing,Retailing,812326.00,2.56,317162.00,1623804.00,2.58,628698.00,105.58,-1.52,"ABLBL,"
L&T Technology Services Ltd.,LTTS,NSE,Information Technology,IT - Software,153133.00,2.53,60572.00,298196.00,2.30,129383.00,3448.20,0.51,"LTTS,"
RR Kabel Ltd.,RRKABEL,NSE,Electricals,Cable,222744.00,2.48,89980.00,439393.00,2.15,204626.00,1455.00,4.53,"RRKABEL,"
Radico Khaitan Ltd.,RADICO,NSE,Alcohol,Breweries & Distilleries,597500.00,2.45,244277.00,1034273.00,2.46,419925.00,3036.40,4.46,"RADICO,"
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,NSE,Consumer Durables,Consumer Durables - Domestic Appliances,3447275.00,2.27,1517701.00,8988325.00,2.62,3425882.00,260.97,5.25,"CROMPTON,"
Netweb Technologies India Ltd.,NETWEB,NSE,Consumer Durables,IT - Hardware,632327.00,2.21,285577.00,3077625.00,2.29,1346567.00,3708.40,4.06,"NETWEB,"
Graphite India Ltd.,GRAPHITE,NSE,Capital Goods,Electrodes & Welding Equipment,786118.00,2.19,358227.00,3299127.00,2.80,1177359.00,681.95,2.34,"GRAPHITE,"
Mastek Ltd.,MASTEK,NSE,Information Technology,IT - Software,60026.00,2.18,27508.00,143422.00,2.36,60794.00,1697.70,3.59,"MASTEK,"
eClerx Services Ltd.,ECLERX,NSE,Information Technology,BPO/ITeS,339856.00,2.14,159034.00,1037418.00,3.74,277024.00,1551.30,4.18,"ECLERX,"
General Insurance Corporation of India,GICRE,NSE,Finance,Insurance,928428.00,2.14,434227.00,2693397.00,2.41,1116977.00,400.05,0.23,"GICRE,"
CarTrade Tech Ltd.,CARTRADE,NSE,Information Technology,e-Commerce,256881.00,2.11,121664.00,649415.00,2.31,281715.00,1797.90,0.73,"CARTRADE,"
Latent View Analytics Ltd.,LATENTVIEW,NSE,Other,Business Support,924228.00,2.10,440724.00,3509340.00,2.75,1275235.00,308.65,2.02,"LATENTVIEW,"
IFCI Ltd.,IFCI,NSE,Finance,Finance Term Lending,10120322.00,2.06,4922214.00,33127586.00,1.72,19306951.00,60.73,3.95,"IFCI,"
Supreme Industries Ltd.,SUPREMEIND,NSE,Plastic Products,Plastic Products,267625.00,2.05,130430.00,602516.00,2.38,252726.00,3663.80,-4.35,"SUPREMEIND,"
United Breweries Ltd.,UBL,NSE,Alcohol,Breweries & Distilleries,255785.00,2.05,124875.00,337363.00,1.62,208685.00,1459.20,-0.78,"UBL,"
PNB Housing Finance Ltd.,PNBHOUSING,NSE,Finance,Finance - Housing,823085.00,2.04,404037.00,1941645.00,2.19,885595.00,893.80,3.14,"PNBHOUSING,"
Finolex Cables Ltd.,FINCABLES,NSE,Electricals,Cable,360719.00,2.03,177631.00,833516.00,2.17,384287.00,913.55,3.39,"FINCABLES,"
