Higher Trade and Delivery Quantity,
Date: 10-Apr-2026,
Major Stocks,
Generated by and for: ratnesh.gold@gmail.com,

Stock Name,Symbol,Exch,Sector Name,Industry Name,Delivered Qty,Delv Times (x),Avg Delv Qty,Traded Qty,Traded Times (x),Avg Traded Qty,Close,Chg %,Symbol with Comma for External Upload
The New India Assurance Company Ltd.,NIACL,NSE,Finance,Insurance,4843478.00,22.02,219982.00,76076824.00,138.90,547691.00,155.71,19.83,"NIACL,"
Minda Corporation Ltd.,MINDACORP,NSE,Automobile & Ancillaries,Auto Ancillary,1193070.00,15.81,75480.00,1413516.00,7.99,176885.00,514.35,-0.01,"MINDACORP,"
Krishna Institute of Medical Sciences Ltd,KIMS,NSE,Healthcare,Hospital & Healthcare Services,1504509.00,11.10,135598.00,1691681.00,6.67,253597.00,664.25,0.34,"KIMS,"
Action Construction Equipment Ltd.,ACE,NSE,Capital Goods,Construction Vehicles,599589.00,6.90,86859.00,1521321.00,7.41,205325.00,909.35,5.02,"ACE,"
Tega Industries Ltd.,TEGA,NSE,Capital Goods,Engineering - Industrial Equipments,146164.00,5.56,26301.00,162327.00,3.96,40970.00,1727.80,0.89,"TEGA,"
General Insurance Corporation of India,GICRE,NSE,Finance,Insurance,862209.00,5.11,168753.00,2931078.00,7.29,402234.00,397.60,2.20,"GICRE,"
Concord Biotech Ltd.,CONCORDBIO,NSE,Healthcare,Pharmaceuticals & Drugs,611852.00,5.08,120503.00,791071.00,3.60,219682.00,1060.40,0.54,"CONCORDBIO,"
Onesource Specialty Pharma Ltd.,ONESOURCE,NSE,Healthcare,Pharmaceuticals & Drugs,274736.00,4.93,55677.00,797413.00,5.02,158932.00,1438.90,4.59,"ONESOURCE,"
Cohance Lifesciences Ltd.,COHANCE,NSE,Healthcare,Pharmaceuticals & Drugs,2596183.00,4.82,538691.00,47632246.00,48.87,974637.00,377.90,19.27,"COHANCE,"
JSW Dulux Ltd.,JSWDULUX,NSE,Chemicals,Paints,56821.00,4.48,12690.00,64364.00,2.16,29781.00,2975.70,-0.17,"JSWDULUX,"
Adani Energy Solutions Ltd.,ADANIENSOL,NSE,Power,Power Generation/Distribution,2897398.00,4.31,672140.00,7933292.00,3.32,2387235.00,1157.90,7.34,"ADANIENSOL,"
V-Guard Industries Ltd.,VGUARD,NSE,Capital Goods,Electric Equipment,242460.00,4.19,57935.00,426583.00,2.64,161439.00,321.65,-1.98,"VGUARD,"
Indraprastha Gas Ltd.,IGL,NSE,Gas Transmission,Gas Transmission/Marketing,6165156.00,3.77,1635877.00,8990056.00,3.00,2998192.00,161.33,4.02,"IGL,"
Sapphire Foods India Ltd.,SAPPHIRE,NSE,Fast Moving Consumer Goods,Consumer Food,1639207.00,3.75,436575.00,4931452.00,3.59,1372880.00,170.03,4.99,"SAPPHIRE,"
Emmvee Photovoltaic Power Ltd.,EMMVEE,NSE,Capital Goods,Electric Equipment,2604544.00,3.58,727091.00,6574788.00,3.69,1783922.00,231.72,3.12,"EMMVEE,"
Aavas Financiers Ltd.,AAVAS,NSE,Finance,Finance - Housing,243905.00,3.47,70382.00,285659.00,2.17,131594.00,1243.80,1.91,"AAVAS,"
Vedant Fashions Ltd.,MANYAVAR,NSE,Textile,Textile,605026.00,3.36,180288.00,874317.00,2.33,375620.00,396.25,2.32,"MANYAVAR,"
